,Compound,Negative,Neutral,Positive,Tweet,coordinates,latitudes,longitudes,target,time,tweet_ID,tweet_location
1,0.296,0.0,0.879,0.121,RT @TrueFactsStated: Come join our Mob. Balloon Mini March coming up in Detroit and Philly https://t.co/hgasAy2K0o https://t.co/IwQBtwkyNK,"37.09024, -95.712891",37.09024,-95.712891,trump,Fri Oct 26 01:44:52 +0000 2018,1055636345606017024,USA
3,-0.7615,0.276,0.649,0.076,"RT @IsraelUSAforevr: Watch as this racist man attacks a black Trump supporter &amp; knocks his MAGA hat off of his head.

#VoteRedToSaveAmerica…","40.7127753, -74.0059728",40.7127753,-74.0059728,trump,Fri Oct 26 01:44:52 +0000 2018,1055636344960106496,"New York, NY"
5,-0.7096,0.285,0.638,0.077,"RT @dbongino: This guy is unbelievable -&gt; Jim Acosta Calls Trump Dishonest and Deceptive, Mocks Sarah Sanders.  https://t.co/hkZfgZVrZr","31.9685988, -99.9018131",31.9685988,-99.9018131,trump,Fri Oct 26 01:44:52 +0000 2018,1055636344746246144,"Texas, USA"
6,-0.7351,0.22,0.78,0.0,"RT @funder: BREAKING: Donald Trump has spent his morning attacking the press, and blaming them for the bombs being sent. The bomber is stil…","35.9140196, -81.5389849",35.9140196,-81.5389849,trump,Fri Oct 26 01:44:52 +0000 2018,1055636344742035456,"Lenoir, North Carolina"
8,0.5766,0.115,0.654,0.231,"RT @MikeTokes: WOW: Hate ads are being ran in NYC that call for the removal of ""trash"" which depicts Christians and Trump supporters.

This…","27.6648274, -81.5157535",27.6648274,-81.5157535,trump,Fri Oct 26 01:44:51 +0000 2018,1055636344322621440,"Florida, USA"
9,-0.296,0.087,0.913,0.0,RT @chelseahandler: It is the responsibility of all our news groups to stop airing Trump’s rallies. These rallies are not news. They are in…,"42.21420639999999, -83.14992389999999",42.21420639999999,-83.14992389999999,trump,Fri Oct 26 01:44:51 +0000 2018,1055636344301645826,"Wyandotte, MI"
10,0.0,0.0,1.0,0.0,"RT @AynRandPaulRyan: The Clintons
The Obamas
John Brennan
George Soros
Maxine Waters
Eric Holder
Robert DeNiro
Debbie Wasserman Schultz
and…","41.5283693, -87.42364970000001",41.5283693,-87.42364970000001,trump,Fri Oct 26 01:44:51 +0000 2018,1055636344041586688,"Griffith, IN USA "
11,-0.3818,0.131,0.811,0.059,RT @VeraMBergen: The Trump administration is reportedly considering an executive action that could use travel ban-like authority to block c…,"35.5174913, -86.5804473",35.5174913,-86.5804473,trump,Fri Oct 26 01:44:51 +0000 2018,1055636343827718144,"Tennessee, USA"
12,0.7184,0.0,0.684,0.316,Goodnight. Support the free press and Democrats. Vote. Then have a stiff drink and Impeach Trump,"40.4172871, -82.90712300000001",40.4172871,-82.90712300000001,trump,Fri Oct 26 01:44:51 +0000 2018,1055636343571779584,ohio
13,-0.9081,0.352,0.648,0.0,"RT @MarkDice: CNN: Trump is the next Hitler.

Trump: CNN is fake news.

CNN: Your rhetoric is inciting hatred and violence against the medi…","40.2671941, -86.1349019",40.2671941,-86.1349019,trump,Fri Oct 26 01:44:51 +0000 2018,1055636343349567488,"Indiana, USA"
