,Compound,Negative,Neutral,Positive,Tweet,coordinates,latitudes,longitudes,target,time,tweet_ID,tweet_location
0,-0.2942,0.128,0.872,0.0,"RT @giantleap4geeks: 🚨New Episode🚨 #HalloweenMovie review, #RockstarGames slave labor, &amp; #Netflix cancels everything?! Plus your #DumbShitO…","-27.3486, 153.0602",-27.3486,153.0602,apple,Wed Oct 24 22:29:19 +0000 2018,1055224746344820736,"Boondall, Brisbane"
2,0.0,0.0,1.0,0.0,@CryptoCoyote waiting apple at 90$ 🙂,"42.159962, -73.420076",42.159962,-73.420076,apple,Wed Oct 24 22:29:18 +0000 2018,1055224744751087616,in my dreams
3,0.0,0.0,1.0,0.0,Can’t wait to see what Apple is dropping on the 30th. 💻,"44.5645659, -123.2620435",44.5645659,-123.2620435,apple,Wed Oct 24 22:29:18 +0000 2018,1055224744310562817,"Corvallis, Oregon"
4,-0.2732,0.091,0.909,0.0,"RT @F1: .@nico_rosberg reveals all about battling Lewis, retirement, family and the future in our latest podcast presented by @Bose &gt;&gt; http…","50.82253000000001, -0.137163",50.82253000000001,-0.137163,apple,Wed Oct 24 22:29:17 +0000 2018,1055224740749680643,"Brighton, England"
6,-0.6369,0.206,0.794,0.0,RT @RadioDevin: We've been talking about Bay Area priests accused of sexually abusing children. Adults have stories too. The latest on #The…,"37.7749295, -122.4194155",37.7749295,-122.4194155,apple,Wed Oct 24 22:29:17 +0000 2018,1055224737176023040,San Francisco
8,0.0,0.0,1.0,0.0,RT @Dreamflight: PRE-ORDER NOW: https://t.co/tsbWJ59Uuy,"36.0389502, -95.8496363",36.0389502,-95.8496363,apple,Wed Oct 24 22:29:16 +0000 2018,1055224734655410176,Berkshire 
10,0.0,0.0,1.0,0.0,"RT @SelfieYo: Get ⁦@SelfieYo⁩ Chat
Your Local Feed 📸 
#collegelife 
#love 
#friends 
#college 😜

https://t.co/p1FFpVpCxr https://t.co/N6qDA…","38.99415320000001, -105.0524755",38.99415320000001,-105.0524755,apple,Wed Oct 24 22:29:15 +0000 2018,1055224730360397830,Your Neighborhood
11,0.0,0.0,1.0,0.0,"RT @MashableDeals: Apple's newest top-notch specs for under $1,500 😱 https://t.co/CguPzSNhEK","40.8689892, -72.5175893",40.8689892,-72.5175893,apple,Wed Oct 24 22:29:15 +0000 2018,1055224729915801600,"Hampton Bays, NY"
13,-0.5423,0.203,0.712,0.085,"RT @QGotNoRings: Niggas really get on here saying ""My taste is really eclectic. Peep my Apple playlists""

Shit be looking like

Ella Mai
Br…","37.4315734, -78.6568942",37.4315734,-78.6568942,apple,Wed Oct 24 22:29:15 +0000 2018,1055224729014022144,"Virginia, USA"
15,-0.128,0.073,0.927,0.0,RT @marinautumn: Isn’t it ironic that Eve ate the apple first and men ended up with it in their throat’s?,"35.6869752, -105.937799",35.6869752,-105.937799,apple,Wed Oct 24 22:29:14 +0000 2018,1055224724303814657,"Santa Fe, NM"
16,-0.5423,0.203,0.712,0.085,"RT @QGotNoRings: Niggas really get on here saying ""My taste is really eclectic. Peep my Apple playlists""

Shit be looking like

Ella Mai
Br…","34.0159493, -118.4954235",34.0159493,-118.4954235,apple,Wed Oct 24 22:29:13 +0000 2018,1055224723502698497,Brittania 
18,0.0,0.0,1.0,0.0,"'Ser gay é o melhor presente que Deus me deu', diz presidente da Apple https://t.co/bI4eMwgkS1 A maioria dos grande… https://t.co/xZ5KyHN0ME","-23.5505199, -46.63330939999999",-23.5505199,-46.63330939999999,apple,Wed Oct 24 22:29:13 +0000 2018,1055224721166479360,São Paulo-capital.
20,0.0,0.0,1.0,0.0,RT @Janefonda: Can't believe it's been 50 years since the release of Barbarella! 🚀 #Barbarella50 https://t.co/4f0hF82oeu https://t.co/uHzuQ…,"28.3575294, -81.55827140000001",28.3575294,-81.55827140000001,apple,Wed Oct 24 22:29:12 +0000 2018,1055224719128059906,a galaxy far far away
24,0.0,0.0,1.0,0.0,@BigFanOfLetters @DanielleWolf5 @CaitlinM__ @DoItWithFlareon @Redrose52344640 @itstarynoc @WWERDream @Apple_Head94… https://t.co/Ct7J5k36c5,"-31.9505269, 115.8604572",-31.9505269,115.8604572,apple,Wed Oct 24 22:29:12 +0000 2018,1055224717135638528,"Perth, Western Australia"
25,0.0,0.0,1.0,0.0,"RT @lindsayromantic: #medievalromance #historicalromance #alchemist #series #Apple https://t.co/4w6iJp0OsX

Whole 4 book series https://t.c…","52.3555177, -1.1743197",52.3555177,-1.1743197,apple,Wed Oct 24 22:29:12 +0000 2018,1055224716041039874,"England, United Kingdom"
30,0.7579,0.0,0.737,0.263,"RT @BTS_Billboard: Are you still streaming &amp; buying RM's 'Mono'?🌙

Make sure to do it here, and share a screenshot of your favorite track i…","37.09024, -95.712891",37.09024,-95.712891,apple,Wed Oct 24 22:29:10 +0000 2018,1055224710861021186,United States
31,0.6476,0.0,0.799,0.201,"@iKiwed [this editing is top notch as always]
This is why storm sente is the rebooted Apple juice we so desire and… https://t.co/nR200PZ6Wx","53.4807593, -2.2426305",53.4807593,-2.2426305,apple,Wed Oct 24 22:29:10 +0000 2018,1055224710651412480,"Manchester, England"
33,-0.3384,0.138,0.862,0.0,Apple seems to have completely blocked police password cracking tool in iOS 12 via /r/technology https://t.co/pCHloyayzL,"40.7127753, -74.0059728",40.7127753,-74.0059728,apple,Wed Oct 24 22:29:09 +0000 2018,1055224706876559363,New york
34,0.0,0.0,1.0,0.0,RT @USARMYxSPOTIFY: Apple ARMY!!!! You hype for #WasteitOnMe ???? Let’s all stream where we can I wanna report it thay it’s on all these da…,"-14.235004, -51.92528",-14.235004,-51.92528,apple,Wed Oct 24 22:29:08 +0000 2018,1055224702141169664,Brasil
37,-0.2732,0.087,0.913,0.0,"RT @DeanObeidallah: Trump and GOP midterm strategy is apple pie, low taxes and demonizing Muslims. My new @thedailybeast how we saw Trump t…","37.09024, -95.712891",37.09024,-95.712891,apple,Wed Oct 24 22:29:07 +0000 2018,1055224698643140609,United States
38,0.4767,0.0,0.819,0.181,"When Trump Phones Friends, the Chinese Listen and Learn - The New York Times #butHerEmails  https://t.co/fbm4Tmrq2C","34.0928092, -118.3286614",34.0928092,-118.3286614,apple,Wed Oct 24 22:29:07 +0000 2018,1055224697716002816,"hollywood, ca"
40,0.2732,0.0,0.905,0.095,"RT @simonahac: off to @ArupAustralasia to see @theRE100, hosted by @JonDeeOz.

#RE100 is a group of 154 companies committed to 100% renewab…","-33.8688197, 151.2092955",-33.8688197,151.2092955,apple,Wed Oct 24 22:29:07 +0000 2018,1055224695509774336,"Sydney, New South Wales"
41,0.0,0.0,1.0,0.0,@level___up Apple Watchの代わりとかにはなりませんが活動量系としてはかなりありな性能かと！,"35.4437078, 139.6380256",35.4437078,139.6380256,apple,Wed Oct 24 22:29:07 +0000 2018,1055224695362994176,横浜
43,-0.2732,0.091,0.909,0.0,"RT @F1: .@nico_rosberg reveals all about battling Lewis, retirement, family and the future in our latest podcast presented by @Bose &gt;&gt; http…","40.6405055, -8.6537539",40.6405055,-8.6537539,apple,Wed Oct 24 22:29:06 +0000 2018,1055224692506873856,"Aveiro, Portugal"
